objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,10/14/1910,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,f5f873a1-bfb6-4fc7-b387-ac743fd73b69,,,Angel,Ericka.photo grid,11/13/2009,Angel baby,Act like an Angel,Brgy. Mat-i,,,Photo from auntie,,Image;StillImage,image/jpeg,Filipino,Public domain,
coll003,4f9b5bd3-cc30-4dcd-8197-cc8ba5d87744,,,Jolly baby,Ericka.photo grid,8/10/2009,Joyful baby,A playful baby ,Brgy. Mat-i,,,Photo from auntie,,Image;StillImage,image/jpeg,Filipino,Public domain,
coll004,9d3e55ec-b73e-4807-9508-a0d73c5d01a1,,,With my sissy,Ericka.photo grid,1/20/2010,Sister bond,Bonding,Brgy. Mat-i,,,Photo from auntie,,Image;StillImage,image/jpeg,Filipino,Public domain,
coll005,fe5b9980-6f6b-4a11-a0d9-2f377ecb6fce,,,Family,Nicolai photo,8/11/2022,Family picture,Family bonding,Brgy. Mat-i,,,Photo from me,,Image;StillImage,image/jpeg,Filipino,Public domain,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
